	Reel	Simulé Actuellement		Simulation idéale	Mars
G 	6,67E-20	1		6,67E-20	6,67E-20
M	1,99E+030	100		1E+025	1E+025
m	5,97E+024	1		1	0,01
R 	150000000	200		200	400
V	29,7470446711378	0,707106781186548		57,7494588719236	40,8350339781908
F	3,52184893333333E+019	0,0025		16,675	0,0416875
T	31667011,3086555	1776,25223434061		21,7491215421697	61,5158053092746
	366,51633459092	0,0205584749344978		0,000251725943775113	0,000711988487375863
					
					
	Distance réelle	Distance simulée	Masse Reelle	Masse Simulée	
Terre	1,50E+08	200	5,97E+24	1	
Mars	2,28E+08	304	6,39E+23	0,107035175879397	
Mercure	5,80E+07	77,3333333333333	3,29E+23	0,0551088777219431	
Venus	1,08E+08	144	4,87E+24	0,815745393634841	
Jupiter	7,79E+08	1038,66666666667	1,90E+27	318,257956448911	
Saturne	1,43E+09	1904	5,68E+26	95,142378559464	
Uranus	2,88E+09	3845,33333333333	8,68E+25	14,5393634840871	
Neptune	4,53E+09	6033,33333333333	1,02E+26	17,0854271356784	
